Lot #,Vehicle ID,Tow Reference ,Year,Make,Model,VIN,Mileage,Reason,K,Comments
235,2720135,14889,2006,VOLVO,XC90,YV4CZ852X61236859,,ACCIDENT,,
269,2736498,15625,2006,BUICK,LUCERNE,1G4HE57Y06U132122,,STOLEN,,
198,2728210,15238,2000,CHEVROLET,S-10 PICK-UP,1GCCS144XY8185360,,ABANDONED,,
456,2696616,13862,2000,CHEVROLET,CAVALIER,1G1JC5246Y7297473,,ACCIDENT,K,
183,2723479,15039,2002,DODGE,GRAND CARA,2B4GP44302R688447,,STOLEN,,
311,2698657,13953,2007,SATURN,ION,1G8AL58F37Z113295,,ACCIDENT,,
222,2730918,15371,1998,CHEVROLET,MONTE CARLO,2G1WX12K0W9247780,,ABANDONED,,
294,2699998,14009,2009,KAWASAKI,OTHER,JKAZX4R119A004193,,ARREST,,
394,2713398,14599,2003,BUICK,CENTURY,2G4WS52J431115695,,ILLEGALLY PARKED,,
510,2709286,14413,2002,CHEVROLET,VENTURE,1GNDX03EX2D323186,,ACCIDENT,,
175,2488541,4243,2002,OLDSMOBILE,BROVADO,1GHDT13S722105258,,ARREST,,
180,2727881,15224,1995,FORD,ESCORT,1FASP14J9SW365621,,ARREST,,
514,2709163,14408,2006,LINCOLN,OTHER,3LNHM26136R637746,,STOLEN,K,
335,2696598,900827,1989,OLDSMOBILE,CUTLASS,2G3AJ51W3K2341816,,KCIPD,,
415,2717238,14740,2004,CHEVROLET,SUBURBAN,1GNFK16Z34J281217,,ACCIDENT,K,
478,2714503,14653,1997,KAWASAKI,OTHER,JKAZX4F14VA031452,,ABANDONED,,
127,2703174,14164,2004,SATURN,VUE,5GZCZ23D84S803967,,ILLEGALLY PARKED,,
437,2721105,14930,2003,FORD,TAURUS,1FAFP53U93G125002,,ACCIDENT,,
521,2716162,14708,1995,JEEP,GRAND CHER,1J4GZ78Y1SC700337,,ABANDONED,,
251,2725585,15136,2001,DODGE,DURANGO,1B4HR28N81F627481,,ACCIDENT,,
129,2732018,15421,1999,ACURA,TL,19UUA5640XA005016,,ABANDONED,,
454,2697600,13913,1991,CHEVROLET,CAMARO,1G1FP23E3ML170990,,ABANDONED,,
420,2713263,14595,2001,HYUNDAI,ACCENT,KMHCG45C11U238898,,ILLEGALLY PARKED,,
381,2737211,15650,1994,HONDA,ACCORD,1HGCD5638RA137602,,ABANDONED,,
107,2700968,14060,2000,LINCOLN,LS,1LNHM86S5YY852321,STARTS,ARREST,K,STARTS
140,2737334,15654,2003,GMC,ENVOY,1GKDT13S232281016,,ACCIDENT,,
468,2703685,14185,2002,CHEVROLET,SUBURBAN,1GNEC16Z82J321250,,ACCIDENT,,
406,2712815,14576,1999,BUICK,CENTURY,2G4WS52M0X1486353,,ABANDONED,,
303,2699990,14010,1998,HONDA,CIVIC,1HGEJ6677WL043270,,STOLEN,,
329,2696736,900832,2014,TOYOTA,RAV4,2T3BFREV4EW219577,,KCIPD,,
184,2723484,15041,1992,CHEVROLET,LUMINA,2G1WN54T7N9284181,,ABANDONED,,
524,2708997,14398,2003,HONDA,CRV,JHLRD68493C003796,,ACCIDENT,K,
141,2735019,15548,2002,BUICK,PARK AVENUE,1G4CW54K024157975,,ABANDONED,,
292,2698048,13932,2003,TOYOTA,CAMRY,2T1CE22P33C019933,,ABANDONED,,
455,2697493,13909,1998,CHEVROLET,BLAZER,1GNCT18W8WK128526,,ARREST,K,
293,2730895,15368,2006,CADILLAC,DTS,1G6KD57Y76U212579,,ACCIDENT,,
165,2728689,15264,2001,CHEVROLET,MONTE CARLO,2G1WW12E019236932,,ABANDONED,,
201,2734085,15520,2001,JEEP,CHEROKEE,1J4FF48S81L614617,,ACCIDENT,,
225,2595603,9051,1982,PORSCHE,928,WP0JA0922CS822250,,ARREST,K,
361,2714091,14634,1998,TOYOTA,CAMRY,4T1BG22K2WU844598,,ARREST,K,
506,2709027,14399,1997,ACURA,TL,JH4UA265XVC006678,,ABANDONED,,
347,2696593,900823,2004,HYUNDAI,ACCENT,KMHCF35C24U306613,,KCIPD,,
45,2703549,14181,1997,FORD,F150,2FTDX1760VCA91414,,ACCIDENT,,
386,2713640,14617,2005,HONDA,CIVIC,2HGES26785H616324,,STOLEN,K,
84,2731913,15414,2007,TOYOTA,CAMRY,4T1BE46K97U179079,,ABANDONED,,
499,2720789,14917,2007,HYUNDAI,ELANTRA,KMHDU46D37U060795,,ACCIDENT,,
261,2700203,14020,1994,LEXUS,ES 300,JT8GK13T2R0026566,,ACCIDENT,,
119,2731172,15376,1994,FORD,RANGER,1FTCR14UXRPA49717,,STOLEN,,
82,2707518,14338,1996,HONDA,ACCORD,1HGCE6649TA015575,,ABANDONED,,
513,2710846,14489,2000,CADILLAC,DEVILLE,1G6KD54Y6YU226481,,ABANDONED,,
363,2717496,14758,2008,HONDA,CIVIC,2HGFG12828H576695,,ABANDONED,,
273,2708460,14375,2004,VOLKSWAGEN,JETTA,3VWSK69M64M092100,,ABANDONED,,
154,2707450,14336,2000,VOLKSWAGEN,BEETLE,3VWCD21C3YM416619,,ABANDONED,,
322,2696837,900814,1997,JEEP,GRAND CHER,1J4GZ58S7VC770218,,KCIPD,,
30,2704204,14201,1997,DODGE,GRAND CARA,1B4GP44R4VB249467,,STOLEN,,
230,2726141,15154,2004,VOLVO,S60,YV1RS59V342342687,,STOLEN,,
462,2718062,14788,2000,FORD,TAURUS,1FAFP52U2YG290768,,ACCIDENT,K,
475,2697666,13915,2000,HONDA,CIVIC,1HGEJ8644YL022719,,STOLEN,,
477,2691097,13604,2005,CHEVROLET,TRAIL BLAZER,1GNES165256178924,,ACCIDENT,,
181,2723449,15035,2002,FORD,TAURUS,1FAFP53U82G165702,,ABANDONED,,
74,2701823,14091,2003,CHEVROLET,TAHOE,1GNEK13Z33R244460,,STOLEN,K,
429,2709182,14406,2003,HONDA,ODYSSEY,2HKRL18603H502897,,ARREST,K,
13,2734794,15536,2016,FORD,FUSION,3FA6P0K95GR361323,,STOLEN,,
32,2699043,13965,2005,CHRYSLER,300,2C3AA53G85H133605,,ACCIDENT,,
405,2712745,14570,2004,DODGE,RAM,1D7HU18D64S779974,,STOLEN,,
265,2706764,14310,2000,BMW,7 SERIES,WBAGH834XYDP09282,,ILLEGALLY PARKED,,
164,2730007,15329,1996,DODGE,RAM,1B7HC16X0TS657376,,ARREST,K,
179,2703287,14171,2006,CHEVROLET,MALIBU,1G1ZT51896F168086,,ACCIDENT,K,
228,2722194,14976,2001,CHEVROLET,SUBURBAN,3GNFK16T51G219035,,ACCIDENT,K,
134,2731832,15409,2002,TOYOTA,TUNDRA,5TBRT34102S226874,,STOLEN,,
452,2696930,13881,1999,CHEVROLET,TAHOE,1GNEK13R3XR101711,,ACCIDENT,K,
400,2712908,14581,2003,PONTIAC,GRAND PRIX,1G2WP52K83F112018,,ABANDONED,,
466,2713720,14620,2008,FORD,TAURUS,1FAHP24W78G155369,,ABANDONED,,
85,2736712,15631,2007,CHRYSLER,TOWN-COUNT,2A4GP54L27R324704,,ABANDONED,,
502,2710309,14468,1995,ACURA,INTEGRA,JH4DC4353SS013998,,ACCIDENT,,
182,2735062,15546,2001,FORD,FOCUS,1FAFP33P31W122369,,STOLEN,,
231,2714175,14639,2003,CHEVROLET,MONTE CARLO,2G1WW12E539345017,,ABANDONED,,
360,2713927,14625,1995,GMC,SUBURBAN,1GKFK16K7SJ714860,,ABANDONED,,
460,2732812,15469,1997,TOYOTA,CAMRY,4T1BG22K4VU078937,,STOLEN,K,
410,2712661,14566,2004,CHEVROLET,MALIBU,1G1ZT54814F107887,,ABANDONED,,
459,2696715,13864,2007,NISSAN,ALTIMA,1N4AL21EX7N472064,,ACCIDENT,,
187,2723577,15042,1994,MAZDA,PROTEGE,JM1BG2246R0750239,,ACCIDENT,,
203,2704892,14221,2009,BMW,1 SERIES,WBAUL73569VJ77139,,ILLEGALLY PARKED,,
366,2717313,14752,2007,MITSUBISHI,OUTLANDER,JA4MT41X87Z018032,,ACCIDENT,,
453,2710634,14481,1989,FORD,F150,1FTDF15Y1KKA13710,,ACCIDENT,,
106,2705362,14241,2001,CHRYSLER,LHS,2C3HC56G11H587869,,ABANDONED,,
178,2726907,15186,1999,CHEVROLET,TAHOE,1GNEK13RXXJ368133,,ARREST,K,
491,2710089,14456,2008,CHEVROLET,IMPALA,2G1WB58K589129983,,ACCIDENT,,
218,2726541,15172,2001,CHEVROLET,MONTE CARLO,2G1WX15K319239449,,ILLEGALLY PARKED,,
362,2721565,14950,2000,FORD,EXPLORER,1FMZU73E1YUA95275,,ILLEGALLY PARKED,K,
36,2699032,13966,2003,MITSUBISHI,ECLIPSE,4A3AE75H63E011117,,ACCIDENT,,
234,2699612,13990,2004,HYUNDAI,SONATA,KMHWF35H54A084353,,ACCIDENT,K,
54,2710259,14462,2016,FORD,ESCAPE,1FMCU0G74GUC42146,,ACCIDENT,,
128,2737005,15643,1997,DODGE,RAM,1B7HF16Y7VS121950,,STOLEN,,
422,2725139,15119,2004,CHEVROLET,TRAIL BLAZER,1GNDT13S542147377,,ABANDONED,,
150,2728666,15265,1997,BUICK,PARK AVENUE,1G4CW52K1V4657344,,ABANDONED,,
16,2586630,8584,2003,HONDA,PILOT,2HKYF18583H614020,,ARREST,,
